academic_year,calendar_year,term_name,term_id,week_number,week_start,week_end
2019–2020,2019,Summer,2019_Summer,4,2019-05-11,2019-05-17
2019–2020,2019,Summer,2019_Summer,5,2019-05-18,2019-05-24
2019–2020,2019,Summer,2019_Summer,6,2019-05-25,2019-05-31
2019–2020,2019,Summer,2019_Summer,7,2019-06-01,2019-06-07
2019–2020,2019,Summer,2019_Summer,8,2019-06-08,2019-06-14
2019–2020,2019,Summer,2019_Summer,9,2019-06-15,2019-06-21
2019–2020,2019,Summer,2019_Summer,10,2019-06-22,2019-06-28
2019–2020,2019,Summer,2019_Summer,11,2019-06-29,2019-07-05
2019–2020,2019,Summer,2019_Summer,12,2019-07-06,2019-07-12
2019–2020,2019,Summer,2019_Summer,13,2019-07-13,2019-07-15
2020–2021,2020,Autumn,2020_Autumn,1,2020-09-01,2020-09-07
2020–2021,2020,Autumn,2020_Autumn,2,2020-09-08,2020-09-14
2020–2021,2020,Autumn,2020_Autumn,3,2020-09-15,2020-09-21
2020–2021,2020,Autumn,2020_Autumn,4,2020-09-22,2020-09-28
2020–2021,2020,Autumn,2020_Autumn,5,2020-09-29,2020-10-05
2020–2021,2020,Autumn,2020_Autumn,6,2020-10-06,2020-10-12
2020–2021,2020,Autumn,2020_Autumn,7,2020-10-13,2020-10-19
2020–2021,2020,Autumn,2020_Autumn,8,2020-10-20,2020-10-26
2020–2021,2020,Autumn,2020_Autumn,9,2020-10-27,2020-11-02
2020–2021,2020,Autumn,2020_Autumn,10,2020-11-03,2020-11-09
2020–2021,2020,Autumn,2020_Autumn,11,2020-11-10,2020-11-16
2020–2021,2020,Autumn,2020_Autumn,12,2020-11-17,2020-11-23
2020–2021,2020,Autumn,2020_Autumn,13,2020-11-24,2020-11-30
2020–2021,2020,Autumn,2020_Autumn,14,2020-12-01,2020-12-07
2020–2021,2020,Autumn,2020_Autumn,15,2020-12-08,2020-12-14
2020–2021,2020,Autumn,2020_Autumn,16,2020-12-15,2020-12-15
2020–2021,2021,Spring,2020_Spring,1,2021-01-06,2021-01-12
2020–2021,2021,Spring,2020_Spring,2,2021-01-13,2021-01-19
2020–2021,2021,Spring,2020_Spring,3,2021-01-20,2021-01-26
2020–2021,2021,Spring,2020_Spring,4,2021-01-27,2021-02-02
2020–2021,2021,Spring,2020_Spring,5,2021-02-03,2021-02-09
2020–2021,2021,Spring,2020_Spring,6,2021-02-10,2021-02-16
2020–2021,2021,Spring,2020_Spring,7,2021-02-17,2021-02-23
2020–2021,2021,Spring,2020_Spring,8,2021-02-24,2021-03-02
2020–2021,2021,Spring,2020_Spring,9,2021-03-03,2021-03-09
2020–2021,2021,Spring,2020_Spring,10,2021-03-10,2021-03-16
2020–2021,2021,Spring,2020_Spring,11,2021-03-17,2021-03-23
2020–2021,2021,Spring,2020_Spring,12,2021-03-24,2021-03-30
2020–2021,2021,Spring,2020_Spring,13,2021-03-31,2021-03-31
2020–2021,2020,Summer,2020_Summer,1,2020-04-20,2020-04-26
2020–2021,2020,Summer,2020_Summer,2,2020-04-27,2020-05-03
2020–2021,2020,Summer,2020_Summer,3,2020-05-04,2020-05-10
2020–2021,2020,Summer,2020_Summer,4,2020-05-11,2020-05-17
2020–2021,2020,Summer,2020_Summer,5,2020-05-18,2020-05-24
2020–2021,2020,Summer,2020_Summer,6,2020-05-25,2020-05-31
2020–2021,2020,Summer,2020_Summer,7,2020-06-01,2020-06-07
2020–2021,2020,Summer,2020_Summer,8,2020-06-08,2020-06-14
2020–2021,2020,Summer,2020_Summer,9,2020-06-15,2020-06-21
2020–2021,2020,Summer,2020_Summer,10,2020-06-22,2020-06-28
2020–2021,2020,Summer,2020_Summer,11,2020-06-29,2020-07-05
2020–2021,2020,Summer,2020_Summer,12,2020-07-06,2020-07-12
2020–2021,2020,Summer,2020_Summer,13,2020-07-13,2020-07-15
2021–2022,2021,Autumn,2021_Autumn,1,2021-09-01,2021-09-07
2021–2022,2021,Autumn,2021_Autumn,2,2021-09-08,2021-09-14
2021–2022,2021,Autumn,2021_Autumn,3,2021-09-15,2021-09-21
2021–2022,2021,Autumn,2021_Autumn,4,2021-09-22,2021-09-28
2021–2022,2021,Autumn,2021_Autumn,5,2021-09-29,2021-10-05
2021–2022,2021,Autumn,2021_Autumn,6,2021-10-06,2021-10-12
2021–2022,2021,Autumn,2021_Autumn,7,2021-10-13,2021-10-19
2021–2022,2021,Autumn,2021_Autumn,8,2021-10-20,2021-10-26
2021–2022,2021,Autumn,2021_Autumn,9,2021-10-27,2021-11-02
2021–2022,2021,Autumn,2021_Autumn,10,2021-11-03,2021-11-09
2021–2022,2021,Autumn,2021_Autumn,11,2021-11-10,2021-11-16
2021–2022,2021,Autumn,2021_Autumn,12,2021-11-17,2021-11-23
2021–2022,2021,Autumn,2021_Autumn,13,2021-11-24,2021-11-30
2021–2022,2021,Autumn,2021_Autumn,14,2021-12-01,2021-12-07
2021–2022,2021,Autumn,2021_Autumn,15,2021-12-08,2021-12-14
2021–2022,2021,Autumn,2021_Autumn,16,2021-12-15,2021-12-15
2021–2022,2022,Spring,2021_Spring,1,2022-01-06,2022-01-12
2021–2022,2022,Spring,2021_Spring,2,2022-01-13,2022-01-19
2021–2022,2022,Spring,2021_Spring,3,2022-01-20,2022-01-26
2021–2022,2022,Spring,2021_Spring,4,2022-01-27,2022-02-02
2021–2022,2022,Spring,2021_Spring,5,2022-02-03,2022-02-09
2021–2022,2022,Spring,2021_Spring,6,2022-02-10,2022-02-16
2021–2022,2022,Spring,2021_Spring,7,2022-02-17,2022-02-23
2021–2022,2022,Spring,2021_Spring,8,2022-02-24,2022-03-02
2021–2022,2022,Spring,2021_Spring,9,2022-03-03,2022-03-09
2021–2022,2022,Spring,2021_Spring,10,2022-03-10,2022-03-16
2021–2022,2022,Spring,2021_Spring,11,2022-03-17,2022-03-23
2021–2022,2022,Spring,2021_Spring,12,2022-03-24,2022-03-30
2021–2022,2022,Spring,2021_Spring,13,2022-03-31,2022-03-31
2021–2022,2021,Summer,2021_Summer,1,2021-04-20,2021-04-26
2021–2022,2021,Summer,2021_Summer,2,2021-04-27,2021-05-03
2021–2022,2021,Summer,2021_Summer,3,2021-05-04,2021-05-10
2021–2022,2021,Summer,2021_Summer,4,2021-05-11,2021-05-17
2021–2022,2021,Summer,2021_Summer,5,2021-05-18,2021-05-24
2021–2022,2021,Summer,2021_Summer,6,2021-05-25,2021-05-31
2021–2022,2021,Summer,2021_Summer,7,2021-06-01,2021-06-07
2021–2022,2021,Summer,2021_Summer,8,2021-06-08,2021-06-14
2021–2022,2021,Summer,2021_Summer,9,2021-06-15,2021-06-21
2021–2022,2021,Summer,2021_Summer,10,2021-06-22,2021-06-28
2021–2022,2021,Summer,2021_Summer,11,2021-06-29,2021-07-05
2021–2022,2021,Summer,2021_Summer,12,2021-07-06,2021-07-12
2021–2022,2021,Summer,2021_Summer,13,2021-07-13,2021-07-15
2022–2023,2022,Autumn,2022_Autumn,1,2022-09-01,2022-09-07
2022–2023,2022,Autumn,2022_Autumn,2,2022-09-08,2022-09-14
2022–2023,2022,Autumn,2022_Autumn,3,2022-09-15,2022-09-21
2022–2023,2022,Autumn,2022_Autumn,4,2022-09-22,2022-09-28
2022–2023,2022,Autumn,2022_Autumn,5,2022-09-29,2022-10-05
2022–2023,2022,Autumn,2022_Autumn,6,2022-10-06,2022-10-12
2022–2023,2022,Autumn,2022_Autumn,7,2022-10-13,2022-10-19
2022–2023,2022,Autumn,2022_Autumn,8,2022-10-20,2022-10-26
2022–2023,2022,Autumn,2022_Autumn,9,2022-10-27,2022-11-02
2022–2023,2022,Autumn,2022_Autumn,10,2022-11-03,2022-11-09
2022–2023,2022,Autumn,2022_Autumn,11,2022-11-10,2022-11-16
2022–2023,2022,Autumn,2022_Autumn,12,2022-11-17,2022-11-23
2022–2023,2022,Autumn,2022_Autumn,13,2022-11-24,2022-11-30
2022–2023,2022,Autumn,2022_Autumn,14,2022-12-01,2022-12-07
2022–2023,2022,Autumn,2022_Autumn,15,2022-12-08,2022-12-14
2022–2023,2022,Autumn,2022_Autumn,16,2022-12-15,2022-12-15
2022–2023,2023,Spring,2022_Spring,1,2023-01-06,2023-01-12
2022–2023,2023,Spring,2022_Spring,2,2023-01-13,2023-01-19
2022–2023,2023,Spring,2022_Spring,3,2023-01-20,2023-01-26
2022–2023,2023,Spring,2022_Spring,4,2023-01-27,2023-02-02
2022–2023,2023,Spring,2022_Spring,5,2023-02-03,2023-02-09
2022–2023,2023,Spring,2022_Spring,6,2023-02-10,2023-02-16
2022–2023,2023,Spring,2022_Spring,7,2023-02-17,2023-02-23
2022–2023,2023,Spring,2022_Spring,8,2023-02-24,2023-03-02
2022–2023,2023,Spring,2022_Spring,9,2023-03-03,2023-03-09
2022–2023,2023,Spring,2022_Spring,10,2023-03-10,2023-03-16
2022–2023,2023,Spring,2022_Spring,11,2023-03-17,2023-03-23
2022–2023,2023,Spring,2022_Spring,12,2023-03-24,2023-03-30
2022–2023,2023,Spring,2022_Spring,13,2023-03-31,2023-03-31
2022–2023,2022,Summer,2022_Summer,1,2022-04-20,2022-04-26
2022–2023,2022,Summer,2022_Summer,2,2022-04-27,2022-05-03
2022–2023,2022,Summer,2022_Summer,3,2022-05-04,2022-05-10
2022–2023,2022,Summer,2022_Summer,4,2022-05-11,2022-05-17
2022–2023,2022,Summer,2022_Summer,5,2022-05-18,2022-05-24
2022–2023,2022,Summer,2022_Summer,6,2022-05-25,2022-05-31
2022–2023,2022,Summer,2022_Summer,7,2022-06-01,2022-06-07
2022–2023,2022,Summer,2022_Summer,8,2022-06-08,2022-06-14
2022–2023,2022,Summer,2022_Summer,9,2022-06-15,2022-06-21
2022–2023,2022,Summer,2022_Summer,10,2022-06-22,2022-06-28
2022–2023,2022,Summer,2022_Summer,11,2022-06-29,2022-07-05
2022–2023,2022,Summer,2022_Summer,12,2022-07-06,2022-07-12
2022–2023,2022,Summer,2022_Summer,13,2022-07-13,2022-07-15
2023–2024,2023,Autumn,2023_Autumn,1,2023-09-01,2023-09-07
2023–2024,2023,Autumn,2023_Autumn,2,2023-09-08,2023-09-14
2023–2024,2023,Autumn,2023_Autumn,3,2023-09-15,2023-09-21
2023–2024,2023,Autumn,2023_Autumn,4,2023-09-22,2023-09-28
2023–2024,2023,Autumn,2023_Autumn,5,2023-09-29,2023-10-05
2023–2024,2023,Autumn,2023_Autumn,6,2023-10-06,2023-10-12
2023–2024,2023,Autumn,2023_Autumn,7,2023-10-13,2023-10-19
2023–2024,2023,Autumn,2023_Autumn,8,2023-10-20,2023-10-26
2023–2024,2023,Autumn,2023_Autumn,9,2023-10-27,2023-11-02
2023–2024,2023,Autumn,2023_Autumn,10,2023-11-03,2023-11-09
2023–2024,2023,Autumn,2023_Autumn,11,2023-11-10,2023-11-16
2023–2024,2023,Autumn,2023_Autumn,12,2023-11-17,2023-11-23
2023–2024,2023,Autumn,2023_Autumn,13,2023-11-24,2023-11-30
2023–2024,2023,Autumn,2023_Autumn,14,2023-12-01,2023-12-07
2023–2024,2023,Autumn,2023_Autumn,15,2023-12-08,2023-12-14
2023–2024,2023,Autumn,2023_Autumn,16,2023-12-15,2023-12-15
2023–2024,2024,Spring,2023_Spring,1,2024-01-06,2024-01-12
2023–2024,2024,Spring,2023_Spring,2,2024-01-13,2024-01-19
2023–2024,2024,Spring,2023_Spring,3,2024-01-20,2024-01-26
2023–2024,2024,Spring,2023_Spring,4,2024-01-27,2024-02-02
2023–2024,2024,Spring,2023_Spring,5,2024-02-03,2024-02-09
2023–2024,2024,Spring,2023_Spring,6,2024-02-10,2024-02-16
2023–2024,2024,Spring,2023_Spring,7,2024-02-17,2024-02-23
2023–2024,2024,Spring,2023_Spring,8,2024-02-24,2024-03-01
2023–2024,2024,Spring,2023_Spring,9,2024-03-02,2024-03-08
2023–2024,2024,Spring,2023_Spring,10,2024-03-09,2024-03-15
2023–2024,2024,Spring,2023_Spring,11,2024-03-16,2024-03-22
2023–2024,2024,Spring,2023_Spring,12,2024-03-23,2024-03-29
2023–2024,2024,Spring,2023_Spring,13,2024-03-30,2024-03-31
2023–2024,2023,Summer,2023_Summer,1,2023-04-20,2023-04-26
2023–2024,2023,Summer,2023_Summer,2,2023-04-27,2023-05-03
2023–2024,2023,Summer,2023_Summer,3,2023-05-04,2023-05-10
2023–2024,2023,Summer,2023_Summer,4,2023-05-11,2023-05-17
2023–2024,2023,Summer,2023_Summer,5,2023-05-18,2023-05-24
2023–2024,2023,Summer,2023_Summer,6,2023-05-25,2023-05-31
2023–2024,2023,Summer,2023_Summer,7,2023-06-01,2023-06-07
2023–2024,2023,Summer,2023_Summer,8,2023-06-08,2023-06-14
2023–2024,2023,Summer,2023_Summer,9,2023-06-15,2023-06-21
2023–2024,2023,Summer,2023_Summer,10,2023-06-22,2023-06-28
2023–2024,2023,Summer,2023_Summer,11,2023-06-29,2023-07-05
2023–2024,2023,Summer,2023_Summer,12,2023-07-06,2023-07-12
2023–2024,2023,Summer,2023_Summer,13,2023-07-13,2023-07-15
2024–2025,2024,Autumn,2024_Autumn,1,2024-09-01,2024-09-07
2024–2025,2024,Autumn,2024_Autumn,2,2024-09-08,2024-09-14
2024–2025,2024,Autumn,2024_Autumn,3,2024-09-15,2024-09-21
2024–2025,2024,Autumn,2024_Autumn,4,2024-09-22,2024-09-28
2024–2025,2024,Autumn,2024_Autumn,5,2024-09-29,2024-10-05
2024–2025,2024,Autumn,2024_Autumn,6,2024-10-06,2024-10-12
2024–2025,2024,Autumn,2024_Autumn,7,2024-10-13,2024-10-19
2024–2025,2024,Autumn,2024_Autumn,8,2024-10-20,2024-10-26
2024–2025,2024,Autumn,2024_Autumn,9,2024-10-27,2024-11-02
2024–2025,2024,Autumn,2024_Autumn,10,2024-11-03,2024-11-09
2024–2025,2024,Autumn,2024_Autumn,11,2024-11-10,2024-11-16
2024–2025,2024,Autumn,2024_Autumn,12,2024-11-17,2024-11-23
2024–2025,2024,Autumn,2024_Autumn,13,2024-11-24,2024-11-30
2024–2025,2024,Autumn,2024_Autumn,14,2024-12-01,2024-12-07
2024–2025,2024,Autumn,2024_Autumn,15,2024-12-08,2024-12-14
2024–2025,2024,Autumn,2024_Autumn,16,2024-12-15,2024-12-15
2024–2025,2025,Spring,2024_Spring,1,2025-01-06,2025-01-12
2024–2025,2025,Spring,2024_Spring,2,2025-01-13,2025-01-19
2024–2025,2025,Spring,2024_Spring,3,2025-01-20,2025-01-26
2024–2025,2025,Spring,2024_Spring,4,2025-01-27,2025-02-02
2024–2025,2025,Spring,2024_Spring,5,2025-02-03,2025-02-09
2024–2025,2025,Spring,2024_Spring,6,2025-02-10,2025-02-16
2024–2025,2025,Spring,2024_Spring,7,2025-02-17,2025-02-23
2024–2025,2025,Spring,2024_Spring,8,2025-02-24,2025-03-02
2024–2025,2025,Spring,2024_Spring,9,2025-03-03,2025-03-09
2024–2025,2025,Spring,2024_Spring,10,2025-03-10,2025-03-16
2024–2025,2025,Spring,2024_Spring,11,2025-03-17,2025-03-23
2024–2025,2025,Spring,2024_Spring,12,2025-03-24,2025-03-30
2024–2025,2025,Spring,2024_Spring,13,2025-03-31,2025-03-31
2024–2025,2024,Summer,2024_Summer,1,2024-04-20,2024-04-26
2024–2025,2024,Summer,2024_Summer,2,2024-04-27,2024-05-03
2024–2025,2024,Summer,2024_Summer,3,2024-05-04,2024-05-10
2024–2025,2024,Summer,2024_Summer,4,2024-05-11,2024-05-17
2024–2025,2024,Summer,2024_Summer,5,2024-05-18,2024-05-24
2024–2025,2024,Summer,2024_Summer,6,2024-05-25,2024-05-31
2024–2025,2024,Summer,2024_Summer,7,2024-06-01,2024-06-07
2024–2025,2024,Summer,2024_Summer,8,2024-06-08,2024-06-14
2024–2025,2024,Summer,2024_Summer,9,2024-06-15,2024-06-21
2024–2025,2024,Summer,2024_Summer,10,2024-06-22,2024-06-28
2024–2025,2024,Summer,2024_Summer,11,2024-06-29,2024-07-05
2024–2025,2024,Summer,2024_Summer,12,2024-07-06,2024-07-12
2024–2025,2024,Summer,2024_Summer,13,2024-07-13,2024-07-15
