student_id,academic_year,year_start,cohort,sub_cohort,start_cohort,progression_cohort,status
196,2020–2021,2020,12,B,11B,,active
197,2020–2021,2020,12,B,11B,,active
198,2020–2021,2020,12,B,11B,,active
199,2020–2021,2020,12,B,11B,,active
200,2020–2021,2020,12,B,11B,,active
201,2020–2021,2020,12,B,11B,,active
202,2020–2021,2020,12,B,11B,,active
203,2020–2021,2020,12,B,11B,,active
204,2020–2021,2020,12,B,11B,,active
205,2020–2021,2020,12,B,11B,,active
206,2020–2021,2020,12,B,11B,,active
207,2020–2021,2020,12,B,11B,,active
208,2020–2021,2020,12,B,11B,,active
209,2020–2021,2020,12,B,11B,,active
210,2020–2021,2020,12,B,11B,,active
211,2020–2021,2020,12,C,11C,,active
212,2020–2021,2020,12,C,11C,,active
213,2020–2021,2020,12,C,11C,,active
214,2020–2021,2020,12,C,11C,,active
215,2020–2021,2020,12,C,11C,,active
216,2020–2021,2020,12,C,11C,,active
217,2020–2021,2020,12,C,11C,,active
218,2020–2021,2020,12,C,11C,,active
219,2020–2021,2020,12,C,11C,,active
220,2020–2021,2020,12,C,11C,,active
221,2020–2021,2020,12,C,11C,,active
222,2020–2021,2020,12,C,11C,,active
223,2020–2021,2020,12,C,11C,,active
224,2020–2021,2020,12,C,11C,,active
225,2020–2021,2020,12,C,11C,,active
271,2020–2021,2020,7,A,7A,8.0,active
272,2020–2021,2020,7,A,7A,8.0,active
273,2020–2021,2020,7,A,7A,8.0,active
274,2020–2021,2020,7,A,7A,8.0,active
275,2020–2021,2020,7,A,7A,8.0,active
276,2020–2021,2020,7,A,7A,8.0,active
277,2020–2021,2020,7,A,7A,8.0,active
278,2020–2021,2020,7,A,7A,8.0,active
279,2020–2021,2020,7,A,7A,8.0,active
280,2020–2021,2020,7,A,7A,8.0,active
281,2020–2021,2020,7,A,7A,8.0,active
282,2020–2021,2020,7,A,7A,8.0,active
283,2020–2021,2020,7,A,7A,8.0,active
284,2020–2021,2020,7,A,7A,8.0,active
285,2020–2021,2020,7,A,7A,8.0,active
286,2020–2021,2020,7,B,7B,8.0,active
287,2020–2021,2020,7,B,7B,8.0,active
288,2020–2021,2020,7,B,7B,8.0,active
289,2020–2021,2020,7,B,7B,8.0,active
290,2020–2021,2020,7,B,7B,8.0,active
291,2020–2021,2020,7,B,7B,8.0,active
292,2020–2021,2020,7,B,7B,8.0,active
293,2020–2021,2020,7,B,7B,8.0,active
294,2020–2021,2020,7,B,7B,8.0,active
295,2020–2021,2020,7,B,7B,8.0,active
296,2020–2021,2020,7,B,7B,8.0,active
297,2020–2021,2020,7,B,7B,8.0,active
298,2020–2021,2020,7,B,7B,8.0,active
299,2020–2021,2020,7,B,7B,8.0,active
300,2020–2021,2020,7,B,7B,8.0,active
301,2020–2021,2020,7,C,7C,8.0,active
302,2020–2021,2020,7,C,7C,8.0,active
303,2020–2021,2020,7,C,7C,8.0,active
304,2020–2021,2020,7,C,7C,8.0,active
305,2020–2021,2020,7,C,7C,8.0,active
306,2020–2021,2020,7,C,7C,8.0,active
307,2020–2021,2020,7,C,7C,8.0,active
308,2020–2021,2020,7,C,7C,8.0,active
309,2020–2021,2020,7,C,7C,8.0,active
310,2020–2021,2020,7,C,7C,8.0,active
311,2020–2021,2020,7,C,7C,8.0,active
312,2020–2021,2020,7,C,7C,8.0,active
313,2020–2021,2020,7,C,7C,8.0,active
314,2020–2021,2020,7,C,7C,8.0,active
315,2020–2021,2020,7,C,7C,8.0,active
1,2021–2022,2021,9,A,7A,10.0,active
3,2021–2022,2021,9,A,7A,10.0,active
4,2021–2022,2021,9,A,7A,10.0,active
5,2021–2022,2021,9,A,7A,10.0,active
6,2021–2022,2021,9,A,7A,10.0,active
7,2021–2022,2021,9,A,7A,10.0,active
8,2021–2022,2021,9,A,7A,10.0,active
9,2021–2022,2021,9,A,7A,10.0,active
11,2021–2022,2021,9,A,7A,10.0,active
12,2021–2022,2021,9,A,7A,10.0,active
14,2021–2022,2021,9,A,7A,10.0,active
15,2021–2022,2021,9,A,7A,10.0,active
16,2021–2022,2021,9,B,7B,10.0,active
17,2021–2022,2021,9,B,7B,10.0,active
18,2021–2022,2021,9,B,7B,10.0,active
19,2021–2022,2021,9,B,7B,10.0,active
21,2021–2022,2021,9,B,7B,10.0,active
22,2021–2022,2021,9,B,7B,10.0,active
23,2021–2022,2021,9,B,7B,10.0,active
24,2021–2022,2021,9,B,7B,10.0,active
25,2021–2022,2021,9,B,7B,10.0,active
26,2021–2022,2021,9,B,7B,10.0,active
27,2021–2022,2021,9,B,7B,10.0,active
28,2021–2022,2021,9,B,7B,10.0,active
29,2021–2022,2021,9,B,7B,10.0,active
30,2021–2022,2021,9,B,7B,10.0,active
31,2021–2022,2021,9,C,7C,10.0,active
32,2021–2022,2021,9,C,7C,10.0,active
33,2021–2022,2021,9,C,7C,10.0,active
34,2021–2022,2021,9,C,7C,10.0,active
35,2021–2022,2021,9,C,7C,10.0,active
36,2021–2022,2021,9,C,7C,10.0,active
37,2021–2022,2021,9,C,7C,10.0,active
38,2021–2022,2021,9,C,7C,10.0,active
39,2021–2022,2021,9,C,7C,10.0,active
40,2021–2022,2021,9,C,7C,10.0,active
41,2021–2022,2021,9,C,7C,10.0,active
43,2021–2022,2021,9,C,7C,10.0,active
44,2021–2022,2021,9,C,7C,10.0,active
45,2021–2022,2021,9,C,7C,10.0,active
46,2021–2022,2021,10,A,8A,11.0,active
47,2021–2022,2021,10,A,8A,11.0,active
48,2021–2022,2021,10,A,8A,11.0,active
49,2021–2022,2021,10,A,8A,11.0,active
51,2021–2022,2021,10,A,8A,11.0,active
52,2021–2022,2021,10,A,8A,11.0,active
53,2021–2022,2021,10,A,8A,11.0,active
54,2021–2022,2021,10,A,8A,11.0,active
55,2021–2022,2021,10,A,8A,11.0,active
56,2021–2022,2021,10,A,8A,11.0,active
57,2021–2022,2021,10,A,8A,11.0,active
58,2021–2022,2021,10,A,8A,11.0,active
59,2021–2022,2021,10,A,8A,11.0,active
60,2021–2022,2021,10,A,8A,11.0,active
61,2021–2022,2021,10,B,8B,11.0,active
62,2021–2022,2021,10,B,8B,11.0,active
63,2021–2022,2021,10,B,8B,11.0,active
64,2021–2022,2021,10,B,8B,11.0,active
65,2021–2022,2021,10,B,8B,11.0,active
66,2021–2022,2021,10,B,8B,11.0,active
67,2021–2022,2021,10,B,8B,11.0,active
